folder,file,ext,date
00_CASE_SUMMARY,ISSUE_TAXONOMY.md,md,
00_CASE_SUMMARY,ISSUE_TAXONOMY_v2.md,md,
00_CASE_SUMMARY,OPEN_ITEMS_AND_DEVELOPMENTS.md,md,
01_FILINGS/EEOC,436-2026-00670_CDI_ChargeOfDiscrimination.pdf,pdf,2026
01_FILINGS/EEOC,436-2026-00698_BIRE_ChargeOfDiscrimination.pdf,pdf,2026
01_FILINGS/EEOC,Blackstream - Lord - Statement of Position to EEOC 6.24.26.pdf,pdf,2026-06-24
01_FILINGS/EEOC,Calaude Seiniger EEOC_3.15.25.docx,docx,
01_FILINGS/EEOC,Calude EEOC_Rebuttal_Lord_v2.docx,docx,
01_FILINGS/EEOC,Complaint Exhibits.docx,docx,
01_FILINGS/EEOC,Complaint Exhibits.pages,pages,
01_FILINGS/EEOC,EEOC Charge No 3.9.26.docx,docx,2026-03-09
01_FILINGS/EEOC,EEOC Charge Rebuttal 3.09.26.docx,docx,2026-03-09
01_FILINGS/EEOC,EEOC Charge Response Rebuttal 3.10.26.docx,docx,2026-03-10
01_FILINGS/EEOC,EEOC Charge Response Rebuttal.docx,docx,
01_FILINGS/EEOC,EEOC Complaint Overview 5.21.26.docx,docx,2026-05-21
01_FILINGS/EEOC,EEOC FILING INFO alias,,
01_FILINGS/EEOC,EEOC Investigator Summary Brief 5.25.26.docx,docx,2026-05-25
01_FILINGS/EEOC,EEOC Investigator Summary Brief.docx,docx,
01_FILINGS/EEOC,EEOC_Complaint_Analysis_and_Recommendations.txt,txt,
01_FILINGS/EEOC,EEOC_Complaint_Lord_FINAL.docx,docx,
01_FILINGS/EEOC,EEOC_FisherPhillips Response.pdf,pdf,
01_FILINGS/EEOC,EEOC_Ltr TPhillips Rep Risk.docx,docx,
01_FILINGS/EEOC,EEOC_Rebuttal Ltr_Statement_3.17.26.docx,docx,
01_FILINGS/EEOC,EEOC_Rebuttal_Blackstream.CDI_6_30_26.docx,docx,
01_FILINGS/EEOC,EEOC_Rebuttal_Blackstream_Breck_Seiniger_review1_CDI_6_30_26.docx,docx,
01_FILINGS/EEOC,EEOC_Rebuttal_Lord_3.12.26.docx,docx,
01_FILINGS/EEOC,EEOC_Rebuttal_Lord_REVISED.docx,docx,
01_FILINGS/EEOC,EEOC_Response 3.15.25.docx,docx,2025-03-15
01_FILINGS/EEOC,ELord Rebuttal 3.10.26.docx,docx,2026-03-10
01_FILINGS/EEOC,ELord_ EEOC Response_3.17.26.pdf,pdf,
01_FILINGS/EEOC,Formal Notice of Claims 11.14.2025.pdf,pdf,2025-11-14
01_FILINGS/EEOC,Formal Notice of Claims.pages,pages,
01_FILINGS/EEOC,Rebuttal Notes 6.30.26.docx,docx,2026-06-30
01_FILINGS/NLRB,CHG.10-CA-381639.First Amended Charge Against Employer - CA Case.pdf,pdf,
01_FILINGS/NLRB,NLRB 3.1.26.docx,docx,2026-03-01
01_FILINGS/NLRB,NLRB Affidavit Revisions 4.15.26.docx,docx,2026-04-15
01_FILINGS/NLRB,NLRB Charge.png,png,
01_FILINGS/NLRB,NLRB Efile Confirmation.html,html,
01_FILINGS/NLRB,NLRB Statement 3.9.26.docx,docx,2026-03-09
01_FILINGS/NLRB,NLRB Witness List 3.1.26.docx,docx,2026-03-01
01_FILINGS/NLRB,NLRB_DCK.10-CA-378814.Unassigned Queue - Letter to Charging Party.pdf,pdf,
01_FILINGS/NLRB,Witness List 3.1.26.docx,docx,2026-03-01
02_TIMELINES,BIRE Timeline copy.docx,docx,
02_TIMELINES,Complaint TImeline.docx,docx,
02_TIMELINES,Complaint Timeline.pdf,pdf,
02_TIMELINES,EEOC_Complaint_Timeline_Lord.docx,docx,
02_TIMELINES,ELord Timeline 11.30.25.pdf,pdf,2025-11-30
02_TIMELINES,ELord_EEOC TIMELINE 12.15.25.xlsx,xlsx,2025-12-15
02_TIMELINES,ELord_EEOC Updated TIMELINE 1.18.26.xlsx,xlsx,2026-01-18
02_TIMELINES,ELord_EEOC Updated TIMELINE 2.28.26.xlsx,xlsx,2026-02-28
02_TIMELINES,ELord_NLRB FULL TIMELINE 3.1.26.xlsx,xlsx,2026-03-01
02_TIMELINES,ELord_NLRB Updated TIMELINE 2.28.26.xlsx,xlsx,2026-02-28
02_TIMELINES,ELord_NLRB Updated TIMELINE 3.1.26.xlsx,xlsx,2026-03-01
02_TIMELINES,Lt Thomas Phillips 251113 timeline & preservation.docx,docx,
02_TIMELINES,Timeline Updated 11.30.25.pdf,pdf,2025-11-30
02_TIMELINES,Timeline Updated 11.30.25.xlsx,xlsx,2025-11-30
02_TIMELINES,Timeline_ Lord v. CDI (2).xlsx,xlsx,
02_TIMELINES,Timeline_ Lord v. CDI 1.4.26 copy.pdf,pdf,2026-01-04
02_TIMELINES,Timeline_ Lord v. CDI 1.4.26 copy.pdf.zip,zip,2026-01-04
02_TIMELINES,UPDATED TIMELINE 3.1.26.xlsx,xlsx,2026-03-01
02_TIMELINES,UPDATED TIMELINE 3.1.26__1.xlsx,xlsx,
02_TIMELINES,UPDATED TIMELINE 5.21.26.xlsx,xlsx,2026-05-21
02_TIMELINES,UPDATED TIMELINE 5.21.26__1.xlsx,xlsx,
02_TIMELINES,UPDATED TIMELINE 5.25.26 copy.xlsx,xlsx,2026-05-25
02_TIMELINES,UPDATED TIMELINE 5.25.26.xlsx,xlsx,2026-05-25
03_EVIDENCE/images-screenshots,2.14.25 AWrenn Title Announcement.png,png,2025-02-14
03_EVIDENCE/images-screenshots,BIRE FRI ACTIVITY REPORT BRODSKY RE HC Metrics.png,png,
03_EVIDENCE/images-screenshots,Biltmore Park Opening.JPG,jpg,
03_EVIDENCE/images-screenshots,Brand Strategy Certification.png,png,
03_EVIDENCE/images-screenshots,Cam Gun Meeting.png,png,
03_EVIDENCE/images-screenshots,Connection Newsletter.png,png,
03_EVIDENCE/images-screenshots,Ford URL Order CH 2025-11-13 at 2.43.11 PM.png,png,2011-02-43
03_EVIDENCE/images-screenshots,SM_Certification II.png,png,
03_EVIDENCE/images-screenshots,Screenshot 2026-01-04 at 11.10.24 AM.png,png,2024-11-10
03_EVIDENCE/images-screenshots,Screenshot 2026-01-18 at 1.05.24 PM.png,png,2024-01-05
03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 12.42.59 PM.png,png,2059-12-42
03_EVIDENCE/images-screenshots,Screenshot 2026-03-08 at 12.43.05 PM.png,png,2005-12-43
