curated_path,category,filename,source_in_archive,total_copies_in_archive,size_bytes
01_FILINGS/EEOC/436-2026-00670_CDI_ChargeOfDiscrimination.pdf,01_FILINGS/EEOC,436-2026-00670_CDI_ChargeOfDiscrimination.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/436-2026-00670_CDI_ChargeOfDiscrimination.pdf,1,82953
01_FILINGS/EEOC/436-2026-00698_BIRE_ChargeOfDiscrimination.pdf,01_FILINGS/EEOC,436-2026-00698_BIRE_ChargeOfDiscrimination.pdf,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/436-2026-00698_BIRE_ChargeOfDiscrimination.pdf,1,83074
01_FILINGS/EEOC/Calaude Seiniger EEOC_3.15.25.docx,01_FILINGS/EEOC,Calaude Seiniger EEOC_3.15.25.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/Calaude Seiniger EEOC_3.15.25.docx,1,27361
01_FILINGS/EEOC/Calude EEOC_Rebuttal_Lord_v2.docx,01_FILINGS/EEOC,Calude EEOC_Rebuttal_Lord_v2.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/Calude EEOC_Rebuttal_Lord_v2.docx,1,25580
01_FILINGS/EEOC/Complaint Exhibits.docx,01_FILINGS/EEOC,Complaint Exhibits.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Exhibits for Copying/Complaint Exhibits.docx,1,23737
01_FILINGS/EEOC/Complaint Exhibits.pages,01_FILINGS/EEOC,Complaint Exhibits.pages,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/Complaint Exhibits.pages,1,754618
01_FILINGS/EEOC/EEOC Charge No 3.9.26.docx,01_FILINGS/EEOC,EEOC Charge No 3.9.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC Charge No 3.9.26.docx,1,25012
01_FILINGS/EEOC/EEOC Charge Rebuttal 3.09.26.docx,01_FILINGS/EEOC,EEOC Charge Rebuttal 3.09.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC Charge Rebuttal 3.09.26.docx,1,25144
01_FILINGS/EEOC/EEOC Charge Response Rebuttal 3.10.26.docx,01_FILINGS/EEOC,EEOC Charge Response Rebuttal 3.10.26.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/WBS TO REVIEWED/EEOC Charge Response Rebuttal 3.10.26.docx,1,26872
01_FILINGS/EEOC/EEOC Charge Response Rebuttal.docx,01_FILINGS/EEOC,EEOC Charge Response Rebuttal.docx,99_ARCHIVE/original-tree/EEOC 5.25.27 INVESTIGATION/EEOC FILING DOCS 3.25/EEOC Charge Response Rebuttal.docx,1,26876
